net,length_um
_049368_,614.665
_019068_,614.655
_039591_,614.505
_055274_,613.81
_039898_,613.29
_019085_,613.24
_020766_,613.17
_041224_,612.87
_019740_,612.725
net74,612.69
_032574_,612.625
_051000_,612.6
_025558_,612.58
net2467,612.56
_033199_,612.47
_040866_,611.89
_019353_,611.845
_019199_,611.825
_028179_,611.625
_044564_,611.47
_039021_,611.055
_035088_,610.94
_018436_,610.835
_045839_,610.775
_037337_,610.71
_021179_,610.68
_050283_,610.435
_019128_,610.32
_019246_,610.045
_039488_,610.005
_051285_,609.935
_031340_,609.88
_028700_,609.585
_043031_,609.585
